name,address,website,phone_number,rating,reviews,category,location,url,business_hours,timestamp
Red House Roasters Coffee,Sponsored Red House Roasters Coffee 4.6(39) · Coffee roasters 308 Mount Pleasant Avenue Open · Closes 6 pm Takeaway 	 Grounded - Get freshly roasted coffee delivered to your door. Taste the difference in every cup.,,,4.6,(39),coffee shops,New York,,,2026-01-21 23:11:49
Victory Sweet Shop/Victory Garden Cafe,Sponsored Victory Sweet Shop/Victory Garden Cafe 4.5(442) · $$ · Restaurant 21-69 Steinway Street Open · Closes 12 am Dine-in·Takeaway·Delivery 	 Victory Sweet Shop Ltd - Get in touch with our staff today to make a reservation through call or email,,,4.5,(442),coffee shops,New York,,,2026-01-21 23:13:49
