name,address,website,phone_number,rating,reviews,category,location,url,business_hours,timestamp
Red House Roasters Coffee,Sponsored Red House Roasters Coffee 4.6(39) · Coffee roasters 308 Mount Pleasant Avenue Open · Closes 6 pm Takeaway 	 Shop Coffee - Get freshly roasted coffee delivered to your door. Taste the difference in every cup.,,,4.6,(39),coffee shops,New York,,,2026-01-21 23:28:30
Vanilla Gorilla Cafe,"Sponsored Vanilla Gorilla Cafe 4.6(1.1K) · $$ · Coffee shop 332 West 44th Street Open · Closes 7 pm Dine-in·Takeaway·Delivery 	 NYC Favorite Cafe - Hot Pastrinos & fresh coffee ready for pickup or delivery in Hell’s Kitchen, NYC.",,,4.6,(1.1K),coffee shops,New York,,,2026-01-21 23:30:30
