name,address,website,phone_number,rating,reviews,category,location,url,business_hours,timestamp
Victory Sweet Shop/Victory Garden Cafe,Sponsored Victory Sweet Shop/Victory Garden Cafe 4.5(442) · $$ · Restaurant 21-69 Steinway Street Open · Closes 12 am Dine-in·Takeaway·Delivery 	 Victory Garden Cafe - Get in touch with our staff today to make a reservation through call or email,,,4.5,(442),coffee shops,New York,,,2026-01-21 22:45:34
Sullivan Street Tea & Spice Company,Sponsored Sullivan Street Tea & Spice Company 4.8(248) · $$$ · Spice Shop 208 Sullivan Street Open · Closes 7 pm Takeaway·Delivery,,,4.8,(248),coffee shops,New York,,,2026-01-21 22:47:34
New York Coffee۔ نیویارک کافی,4.2(2.2K) · $$ · Coffee shop,,,4.2,(2.2K),coffee shops,New York,,,2026-01-21 22:49:34
Coffee Project New York | East Village,4.6(808) · $1–10 · Coffee shop,,,4.6,(808),coffee shops,New York,,,2026-01-21 22:51:35
