name,address,website,phone_number,rating,reviews,category,location,url,business_hours,timestamp
Victory Sweet Shop/Victory Garden Cafe,Sponsored Victory Sweet Shop/Victory Garden Cafe 4.5(442) · $$ · Restaurant 21-69 Steinway Street Open · Closes 12 am Dine-in·Takeaway·Delivery 	 Greek Cafe Restaurant - Get in touch with our staff today to make a reservation through call or email,,,4.5,(442),coffee shops,New York,,,2026-01-22 00:12:53
Red House Roasters Coffee,Sponsored Red House Roasters Coffee 4.6(39) · Coffee roasters 308 Mount Pleasant Avenue Open · Closes 6 pm Takeaway 	 Shop Coffee - Get freshly roasted coffee delivered to your door. Taste the difference in every cup.,,,4.6,(39),coffee shops,New York,,,2026-01-22 00:14:54
New York Coffee۔ نیویارک کافی,4.2(2.2K) · $$ · Coffee shop,,,4.2,(2.2K),coffee shops,New York,,,2026-01-22 00:16:54
Stumptown Coffee Roasters,4.5(1.7K) · $1–10 · Coffee shop,,,4.5,(1.7K),coffee shops,New York,,,2026-01-22 00:18:54
Coffee Project New York | East Village,4.6(808) · $1–10 · Coffee shop,,,4.6,(808),coffee shops,New York,,,2026-01-22 00:20:54
